chr	start	end	TargetGene	CellType	enformer_norm_score
chr12	54138981	54139481	COPZ1	K562	0.0
chr12	54159081	54159601	COPZ1	K562	0.0
chr12	54161601	54162121	COPZ1	K562	0.0
chr12	54168961	54169521	COPZ1	K562	0.0
chr12	54175341	54175841	COPZ1	K562	0.0
chr12	54191481	54191981	COPZ1	K562	0.0
chr12	54195701	54196201	COPZ1	K562	0.0
chr12	54197501	54198001	COPZ1	K562	0.0
chr12	54201261	54201781	COPZ1	K562	0.0
chr12	54207701	54208221	COPZ1	K562	1127.5354187568837
chr12	54209801	54210341	COPZ1	K562	1246.417599128325
chr12	54214621	54215121	COPZ1	K562	935.2991715601045
chr12	54215561	54216061	COPZ1	K562	1401.4749001565842
chr12	54216121	54217461	COPZ1	K562	1707.4225085921094
chr12	54219981	54220521	COPZ1	K562	480.6021802835356
chr12	54227321	54227841	COPZ1	K562	971.6395144420826
chr12	54227941	54228441	COPZ1	K562	1015.0122587553791
chr12	54241281	54241801	COPZ1	K562	1868.847577543058
chr12	54251581	54252161	COPZ1	K562	1255.403498109114
chr12	54261781	54262321	COPZ1	K562	1320.9994798475723
chr12	54262421	54262941	COPZ1	K562	1335.7316153927222
chr12	54265861	54266361	COPZ1	K562	1196.2485289722747
chr12	54283021	54283521	COPZ1	K562	3178.17409152574
chr12	54285841	54286341	COPZ1	K562	5876.485048578684
chr12	54286541	54287101	COPZ1	K562	7894.770008957948
chr12	54287161	54288101	COPZ1	K562	7953.426678359343
chr12	54288141	54289141	COPZ1	K562	3902.3537592873295
chr12	54292001	54292801	COPZ1	K562	11089.945744172583
chr12	54294101	54294621	COPZ1	K562	9589.543327328847
chr12	54294681	54295181	COPZ1	K562	12182.082463280709
chr12	54296641	54297141	COPZ1	K562	7508.912816761286
chr12	54297781	54298341	COPZ1	K562	7110.088047772813
chr12	54303561	54304061	COPZ1	K562	38951.730563017656
chr12	54304241	54304761	COPZ1	K562	39381.49435580336
chr12	54306981	54307501	COPZ1	K562	9590.508936110156
chr12	54358081	54358601	COPZ1	K562	2610.3500573436377
chr12	54359021	54360261	COPZ1	K562	2924.988145921393
chr12	54360761	54361261	COPZ1	K562	1353.873648056809
chr12	54367481	54368001	COPZ1	K562	661.9387080129619
chr12	54368121	54368621	COPZ1	K562	1163.1222806833075
chr12	54368641	54369601	COPZ1	K562	1540.3307924889634
chr12	54370161	54370681	COPZ1	K562	1368.6755958448866
chr12	54376721	54377261	COPZ1	K562	1196.223271119247
chr12	54379021	54379521	COPZ1	K562	1152.2608662625307
chr12	54379541	54380081	COPZ1	K562	981.455403308897
chr12	54383101	54383601	COPZ1	K562	1098.0786040052105
chr12	54388721	54389261	COPZ1	K562	390.45187725704176
chr12	54393681	54394701	COPZ1	K562	616.7397666231287
chr12	54399241	54399761	COPZ1	K562	320.4826579989491
chr12	54404301	54404841	COPZ1	K562	0.0
chr12	54417141	54417681	COPZ1	K562	0.0
chr12	54423121	54423661	COPZ1	K562	0.0
chr12	54425361	54426101	COPZ1	K562	0.0
chr12	54427401	54428041	COPZ1	K562	0.0
chr12	54428661	54429181	COPZ1	K562	0.0
chr12	54432121	54432881	COPZ1	K562	0.0
chr12	54439481	54439981	COPZ1	K562	0.0
chr12	54448241	54448741	COPZ1	K562	0.0
chr12	54462921	54463481	COPZ1	K562	0.0
chr12	54475441	54475941	COPZ1	K562	0.0
chr12	54485621	54486661	COPZ1	K562	0.0
chr12	54489841	54490381	COPZ1	K562	0.0
chr12	54527001	54527521	COPZ1	K562	
chr12	54533141	54533781	COPZ1	K562	
chr12	54560281	54560801	COPZ1	K562	
chr12	54579641	54580141	COPZ1	K562	
chr12	54596361	54596861	COPZ1	K562	
chr12	54603081	54603601	COPZ1	K562	
chr12	54658561	54659141	COPZ1	K562	
chr12	54702161	54702661	COPZ1	K562	
chr12	54749181	54749701	COPZ1	K562	
chr12	54759641	54760141	COPZ1	K562	
chr12	53365817	53366317	NFE2	K562	
chr12	53370654	53372050	NFE2	K562	
chr12	53696201	53696701	NFE2	K562	
chr12	53701681	53702221	NFE2	K562	
chr12	53719581	53720101	NFE2	K562	
chr12	53726221	53726741	NFE2	K562	
chr12	53743501	53744041	NFE2	K562	
chr12	53746561	53747061	NFE2	K562	
chr12	53767601	53768121	NFE2	K562	
chr12	53791661	53792161	NFE2	K562	
chr12	53808921	53809441	NFE2	K562	
chr12	53941601	53942201	NFE2	K562	
chr12	53944681	53945201	NFE2	K562	
chr12	53948821	53949341	NFE2	K562	
chr12	53949461	53950021	NFE2	K562	
chr12	53950281	53950781	NFE2	K562	
chr12	53963401	53963921	NFE2	K562	
chr12	53963941	53964561	NFE2	K562	
chr12	53987761	53988281	NFE2	K562	
chr12	53989021	53989521	NFE2	K562	
chr12	53995321	53995841	NFE2	K562	
chr12	54004001	54004501	NFE2	K562	
chr12	54005881	54006381	NFE2	K562	
chr12	54017761	54018281	NFE2	K562	
chr12	54018561	54019101	NFE2	K562	
chr12	54040041	54040561	NFE2	K562	
chr12	54083861	54084401	NFE2	K562	
chr12	54138981	54139481	NFE2	K562	0.0
chr12	54159081	54159601	NFE2	K562	0.0
chr12	54161601	54162121	NFE2	K562	0.0
chr12	54168961	54169521	NFE2	K562	0.0
chr12	54175341	54175841	NFE2	K562	0.0
chr12	54191481	54191981	NFE2	K562	0.0
chr12	54195701	54196201	NFE2	K562	0.0
chr12	54197501	54198001	NFE2	K562	0.0
chr12	54201261	54201781	NFE2	K562	0.0
chr12	54207701	54208221	NFE2	K562	691.2961402683142
chr12	54209801	54210341	NFE2	K562	691.05713619885
chr12	54214621	54215121	NFE2	K562	1227.2952227885987
chr12	54215561	54216061	NFE2	K562	1609.3768521198863
chr12	54216121	54217461	NFE2	K562	1793.0085586683276
chr12	54219981	54220521	NFE2	K562	463.91750108885475
chr12	54227321	54227841	NFE2	K562	830.4121570702201
chr12	54227941	54228441	NFE2	K562	871.9348055473301
chr12	54251581	54252161	NFE2	K562	1403.4369650894662
chr12	54261781	54262321	NFE2	K562	1439.2638350218763
chr12	54262421	54262941	NFE2	K562	1467.6544747278153
chr12	54283021	54283521	NFE2	K562	3762.9266186064383
chr12	54285841	54286341	NFE2	K562	10087.925722931326
chr12	54286541	54287101	NFE2	K562	10118.174886142177
chr12	54287161	54288101	NFE2	K562	9342.425171699117
chr12	54288141	54289141	NFE2	K562	2843.11686459766
chr12	54303561	54304061	NFE2	K562	33732.902237349415
chr12	54304241	54304761	NFE2	K562	32745.18971368632
chr12	54306981	54307501	NFE2	K562	10908.45882506554
chr12	54330821	54331321	NFE2	K562	3110.777381877106
chr12	54352001	54352501	NFE2	K562	6880.8175930379275
chr12	54358081	54358601	NFE2	K562	2127.517460639143
chr12	54359021	54360261	NFE2	K562	3019.104346886252
chr12	54360761	54361261	NFE2	K562	1202.9159963928425
chr12	54367481	54368001	NFE2	K562	726.0279360536815
chr12	54368121	54368621	NFE2	K562	992.4698631865461
chr12	54368641	54369601	NFE2	K562	1628.226241649799
chr12	54370161	54370681	NFE2	K562	1852.265804680074
chr12	54376721	54377261	NFE2	K562	2277.627602617761
chr12	54379021	54379521	NFE2	K562	873.4128032458079
chr12	54379541	54380081	NFE2	K562	772.6223293803491
chr12	54383101	54383601	NFE2	K562	674.0293243709837
chr12	54388721	54389261	NFE2	K562	581.9793857833774
chr12	54393681	54394701	NFE2	K562	575.5634409384526
chr12	54399241	54399761	NFE2	K562	177.7874593625528
chr12	54404301	54404841	NFE2	K562	0.0
chr12	54417141	54417681	NFE2	K562	0.0
chr12	54423121	54423661	NFE2	K562	0.0
chr12	54425361	54426101	NFE2	K562	0.0
chr12	54427401	54428041	NFE2	K562	0.0
chr12	54428661	54429181	NFE2	K562	0.0
chr12	54432121	54432881	NFE2	K562	0.0
chr12	54439481	54439981	NFE2	K562	0.0
chr12	54448241	54448741	NFE2	K562	0.0
chr12	54462921	54463481	NFE2	K562	0.0
chr12	54475441	54475941	NFE2	K562	0.0
chr12	54485621	54486661	NFE2	K562	0.0
chr12	54489841	54490381	NFE2	K562	0.0
chr12	54527001	54527521	NFE2	K562	
chr12	54533141	54533781	NFE2	K562	
chr12	54560281	54560801	NFE2	K562	
chr12	54579641	54580141	NFE2	K562	
chr12	54596361	54596861	NFE2	K562	
chr12	54603081	54603601	NFE2	K562	
chr12	54658561	54659141	NFE2	K562	
chr12	54702161	54702661	NFE2	K562	
chr12	54749181	54749701	NFE2	K562	
chr12	54759641	54760141	NFE2	K562	
chr12	54987842	54988835	NFE2	K562	
chr12	53370654	53372050	CBX5	K562	
chr12	53370654	53372050	KRT8	K562	
chr12	53370654	53372050	SMUG1	K562	
chr12	53421211	53422003	SMUG1	K562	
chr12	53696201	53696701	ITGA5	K562	
chr12	53701681	53702221	ITGA5	K562	
chr12	53719581	53720101	ITGA5	K562	
chr12	53726221	53726741	ITGA5	K562	
chr12	53743501	53744041	ITGA5	K562	
chr12	53746561	53747061	ITGA5	K562	
chr12	53767601	53768121	ITGA5	K562	
chr12	53791661	53792161	ITGA5	K562	
chr12	53808921	53809441	ITGA5	K562	
chr12	53941601	53942201	ITGA5	K562	
chr12	53944681	53945201	ITGA5	K562	
chr12	53948821	53949341	ITGA5	K562	
chr12	53949461	53950021	ITGA5	K562	
chr12	53950281	53950781	ITGA5	K562	
chr12	53963401	53963921	ITGA5	K562	
chr12	53963941	53964561	ITGA5	K562	
chr12	53987761	53988281	ITGA5	K562	
chr12	53989021	53989521	ITGA5	K562	
chr12	53995321	53995841	ITGA5	K562	
chr12	54004001	54004501	ITGA5	K562	
chr12	54005881	54006381	ITGA5	K562	
chr12	54017761	54018281	ITGA5	K562	
chr12	54018561	54019101	ITGA5	K562	
chr12	54040041	54040561	ITGA5	K562	
chr12	54082501	54083001	ITGA5	K562	
chr12	54083861	54084401	ITGA5	K562	
chr12	54092861	54093421	ITGA5	K562	
chr12	54138981	54139481	ITGA5	K562	
chr12	54159081	54159601	ITGA5	K562	
chr12	54161601	54162121	ITGA5	K562	
chr12	54168961	54169521	ITGA5	K562	
chr12	54175341	54175841	ITGA5	K562	
chr12	54191481	54191981	ITGA5	K562	
chr12	54195701	54196201	ITGA5	K562	
chr12	54197501	54198001	ITGA5	K562	
chr12	54201261	54201781	ITGA5	K562	
chr12	54207701	54208221	ITGA5	K562	
chr12	54209801	54210341	ITGA5	K562	
chr12	54214621	54215121	ITGA5	K562	
chr12	54215561	54216061	ITGA5	K562	
chr12	54216121	54217461	ITGA5	K562	
chr12	54219981	54220521	ITGA5	K562	
chr12	54227321	54227841	ITGA5	K562	0.0
chr12	54227941	54228441	ITGA5	K562	0.0
chr12	54241281	54241801	ITGA5	K562	0.0
chr12	54251581	54252161	ITGA5	K562	0.0
chr12	54261781	54262321	ITGA5	K562	0.0
chr12	54262421	54262941	ITGA5	K562	0.0
chr12	54265861	54266361	ITGA5	K562	0.0
chr12	54283021	54283521	ITGA5	K562	0.0
chr12	54285841	54286341	ITGA5	K562	0.0
chr12	54286541	54287101	ITGA5	K562	0.0
chr12	54287161	54288101	ITGA5	K562	0.0
chr12	54288141	54289141	ITGA5	K562	0.0
chr12	54292001	54292801	ITGA5	K562	0.0
chr12	54294101	54294621	ITGA5	K562	0.0
chr12	54294681	54295181	ITGA5	K562	0.0
chr12	54296641	54297141	ITGA5	K562	0.0
chr12	54297781	54298341	ITGA5	K562	0.0
chr12	54303561	54304061	ITGA5	K562	0.0
chr12	54304241	54304761	ITGA5	K562	0.0
chr12	54306981	54307501	ITGA5	K562	0.0
chr12	54330821	54331321	ITGA5	K562	705.5939171824227
chr12	54338121	54338741	ITGA5	K562	1846.3554637999607
chr12	54352001	54352501	ITGA5	K562	1473.467061657266
chr12	54358081	54358601	ITGA5	K562	3589.9843710668483
chr12	54359021	54360261	ITGA5	K562	4632.150895751197
chr12	54360761	54361261	ITGA5	K562	1104.5641437696315
chr12	54367481	54368001	ITGA5	K562	1404.733594517418
chr12	54368121	54368621	ITGA5	K562	2800.2349853143464
chr12	54368641	54369601	ITGA5	K562	5083.1851688854185
chr12	54370161	54370681	ITGA5	K562	4980.75916618499
chr12	54376721	54377261	ITGA5	K562	3590.299565327955
chr12	54379021	54379521	ITGA5	K562	5747.088243424268
chr12	54379541	54380081	ITGA5	K562	5178.8035261058585
chr12	54383101	54383601	ITGA5	K562	2902.895303851095
chr12	54388721	54389261	ITGA5	K562	2819.355664328225
chr12	54423121	54423661	ITGA5	K562	10845.903158292078
chr12	54425361	54426101	ITGA5	K562	5462.1707512499925
chr12	54427401	54428041	ITGA5	K562	11765.219921735577
chr12	54428661	54429181	ITGA5	K562	16491.052116547333
chr12	54432121	54432881	ITGA5	K562	6080.096164601674
chr12	54439481	54439981	ITGA5	K562	5174.669669757768
chr12	54448241	54448741	ITGA5	K562	1689.7860021745244
chr12	54462921	54463481	ITGA5	K562	4381.248484005017
chr12	54475441	54475941	ITGA5	K562	2828.636050371883
chr12	54485621	54486661	ITGA5	K562	1479.809618808528
chr12	54489841	54490381	ITGA5	K562	1919.699736776975
chr12	54527001	54527521	ITGA5	K562	0.0
chr12	54533141	54533781	ITGA5	K562	0.0
chr12	54560281	54560801	ITGA5	K562	0.0
chr12	54579641	54580141	ITGA5	K562	0.0
chr12	54596361	54596861	ITGA5	K562	0.0
chr12	54603081	54603601	ITGA5	K562	0.0
chr12	54658561	54659141	ITGA5	K562	
chr12	54702161	54702661	ITGA5	K562	
chr12	54749181	54749701	ITGA5	K562	
chr12	54759641	54760141	ITGA5	K562	
chr12	54987842	54988835	CD63	K562	
chr12	56698763	56699706	CD63	K562	
chr12	54987842	54988835	GTSF1	K562	
chr12	55188906	55189406	MYL6	K562	
chr12	56047044	56047544	MYL6	K562	0.0
chr12	56987434	56988095	MYL6	K562	
chr12	56988219	56988719	MYL6	K562	
chr12	56990940	56991999	MYL6	K562	
chr12	55188906	55189406	RPL41	K562	
chr12	56047044	56047544	RPL41	K562	948.5072364793044
chr12	56698763	56699706	RPL41	K562	
chr12	56877920	56878420	RPL41	K562	
chr12	56987434	56988095	RPL41	K562	
chr12	56988219	56988719	RPL41	K562	
chr12	56990940	56991999	RPL41	K562	
chr12	56007083	56007104	SUOX	K562	15873.26400555368
chr12	56047044	56047544	ATP5B	K562	
chr12	56698763	56699706	ATP5B	K562	1856.9412706500418
chr12	56988219	56988719	ATP5B	K562	
chr12	56990940	56991999	ATP5B	K562	
chr12	56047044	56047544	PTGES3	K562	
chr12	56698763	56699706	PTGES3	K562	2338.199585487317
chr12	56877920	56878420	PTGES3	K562	0.0
chr12	56988219	56988719	PTGES3	K562	
chr12	56990940	56991999	PTGES3	K562	
chr12	56698763	56699706	DCTN2	K562	
chr12	56698763	56699706	MYL6B	K562	
chr12	56988219	56988719	MYL6B	K562	
chr12	56698763	56699706	NACA	K562	3165.288481332989
chr12	56877920	56878420	NACA	K562	0.0
chr12	56988219	56988719	NACA	K562	
chr12	56990940	56991999	NACA	K562	
chr12	56877920	56878420	PA2G4	K562	
chr12	56988219	56988719	PA2G4	K562	
chr12	56990940	56991999	PA2G4	K562	
chr12	56877920	56878420	RPS26	K562	
chr12	56987434	56988095	RPS26	K562	
chr12	56988219	56988719	RPS26	K562	
chr12	56990940	56991999	RPS26	K562	
chr12	56988219	56988719	CDK4	K562	
chr12	57861556	57862056	CDK4	K562	0.0
chr12	56988219	56988719	CNPY2	K562	
chr12	56990940	56991999	CNPY2	K562	
chr12	56988219	56988719	CS	K562	
chr12	56990940	56991999	CS	K562	
chr12	56988219	56988719	NABP2	K562	
chr12	56990940	56991999	NABP2	K562	
chr12	56988219	56988719	RP11-620J15.3	K562	
chr12	56990940	56991999	RP11-620J15.3	K562	
chr12	56988219	56988719	TSFM	K562	
chr12	56990940	56991999	TSFM	K562	
chr12	69623955	69624455	CCT2	K562	6091.631011260089
chr12	71752862	71753362	RAB21	K562	11871.39514844487
chr12	76183266	76183927	OSBPL8	K562	
chr12	76206579	76207335	NAP1L1	K562	0.0
chr12	92379026	92379526	NUDT4	K562	
chr12	92394419	92395272	NUDT4	K562	
chr12	93229177	93229886	NUDT4	K562	0.0
chr12	93243553	93244578	NUDT4	K562	0.0
chr12	93302544	93303259	NUDT4	K562	2391.156231293455
chr12	93624907	93625577	NUDT4	K562	
chr12	92403594	92404227	BTG1	K562	
chr12	92404527	92405395	BTG1	K562	
chr12	93229177	93229886	MRPL42	K562	
chr12	93302544	93303259	MRPL42	K562	0.0
chr12	93590662	93591844	MRPL42	K562	0.0
chr12	93229177	93229886	UBE2N	K562	
chr12	94100257	94100757	NDUFA12	K562	
chr12	98399474	98399974	SLC25A3	K562	0.0
chr12	98399474	98399974	TMPO	K562	0.0
chr12	101855210	101856351	CHPT1	K562	0.0
chr12	101855210	101856351	DRAM1	K562	21506.067859407307
chr12	101855210	101856351	NUP37	K562	
chr12	108090407	108090907	PWP1	K562	
chr12	108117249	108117891	ISCU	K562	
chr12	110093821	110094386	ARPC3	K562	
chr12	110100126	110100903	ARPC3	K562	
chr12	110118251	110118751	ARPC3	K562	
chr12	110269527	110270944	ARPC3	K562	0.0
chr12	110354069	110354569	ARPC3	K562	1003.0007019349606
chr12	110100126	110100903	PPP1CC	K562	
chr12	110269527	110270944	PPP1CC	K562	
chr12	111635465	111636217	PPP1CC	K562	
chr12	110100126	110100903	VPS29	K562	
chr12	110760104	110760604	VPS29	K562	
chr12	110269527	110270944	ANAPC7	K562	0.0
chr12	110269527	110270944	ATP2A2	K562	13408.572167273323
chr12	110269527	110270944	GPN3	K562	
chr12	110269527	110270944	MMAB	K562	
chr12	111635465	111636217	ERP29	K562	
chr12	111636429	111637072	ERP29	K562	
chr12	112114778	112115745	ERP29	K562	0.0
chr12	112386678	112387774	ERP29	K562	
chr12	111635465	111636217	RPL6	K562	
chr12	112114778	112115745	RPL6	K562	
chr12	112122657	112123157	RPL6	K562	
chr12	112386678	112387774	RPL6	K562	7000.979656802914
chr12	112386678	112387774	DDX54	K562	
chr12	116360799	116361299	TESC	K562	
chr12	118625219	118625841	PEBP1	K562	
chr12	119901975	119902475	POP5	K562	
chr12	120317337	120317973	POP5	K562	
chr12	120625573	120626234	POP5	K562	2574.3167172595313
chr12	119901975	119902475	RPLP0	K562	
chr12	120625573	120626234	RPLP0	K562	
chr12	119901975	119902475	SRSF9	K562	
chr12	120317337	120317973	SRSF9	K562	0.0
chr12	120625573	120626234	SRSF9	K562	0.0
chr12	120317337	120317973	TRIAP1	K562	0.0
chr12	120625573	120626234	TRIAP1	K562	0.0
chr12	120625573	120626234	COX6A1	K562	0.0
chr12	121201921	121203473	COX6A1	K562	
chr12	120625573	120626234	DYNLL1	K562	0.0
chr12	121201921	121203473	ANAPC5	K562	0.0
chr12	121686819	121687319	ANAPC5	K562	
chr12	121201921	121203473	MLXIP	K562	
chr12	121624541	121625041	MLXIP	K562	
chr12	121624541	121625041	RSRC2	K562	
chr12	124573746	124574246	TMED2	K562	
chr12	124884566	124885309	UBC	K562	9720.73932238247
chr12	124887089	124887589	UBC	K562	3765.7410744399103
chr12	124921043	124922503	UBC	K562	12326.01218798225
chr12	124939038	124940382	UBC	K562	10308.363235439016
chr12	124887089	124887589	SCARB1	K562	7393.712853670947
chr12	131231029	131232010	NOC4L	K562	
chr12	131231029	131232010	RAN	K562	
chr12	131239600	131240100	RAN	K562	
chr12	131242858	131243358	RAN	K562	
chr13	21243002	21243502	SAP18	K562	0.0
chr13	27421403	27421903	POLR1D	K562	
chr13	28611163	28612057	POLR1D	K562	
chr13	27421403	27421903	RPL21	K562	0.0
chr13	28611163	28612057	POMP	K562	4563.857449894006
chr13	42258661	42259161	AKAP11	K562	4421.38043299355
chr13	42259456	42260210	AKAP11	K562	4662.515574162169
chr13	44917537	44918977	TPT1	K562	
chr13	49846517	49847017	EBPL	K562	0.0
chr13	74919835	74921427	COMMD6	K562	
chr13	80359308	80360088	NDFIP2	K562	
chr14	20482156	20482864	APEX1	K562	3493.547625008674
chr14	20490309	20491291	APEX1	K562	3610.419640373262
chr14	20681229	20681936	APEX1	K562	
chr14	20482156	20482864	CCNB1IP1	K562	0.0
chr14	20578926	20579426	CCNB1IP1	K562	
chr14	20482156	20482864	HNRNPC	K562	
chr14	20490309	20491291	HNRNPC	K562	
chr14	20578926	20579426	HNRNPC	K562	
chr14	20482156	20482864	SUPT16H	K562	
chr14	20681229	20681936	SUPT16H	K562	
chr14	20820431	20821091	SUPT16H	K562	
chr14	20490309	20491291	METTL17	K562	
chr14	20820431	20821091	RNASE1	K562	4215.509608926398
chr14	22337893	22338393	DAD1	K562	
chr14	22560754	22561361	DAD1	K562	7156.518596554119
chr14	22561547	22562047	DAD1	K562	9003.949497598333
chr14	22700080	22700580	DAD1	K562	0.0
chr14	23453713	23454213	DAD1	K562	
chr14	22337893	22338393	PSMB5	K562	
chr14	22560754	22561361	PSMB5	K562	
chr14	22671575	22672075	PSMB5	K562	
chr14	22700080	22700580	PSMB5	K562	
chr14	22865230	22866103	PSMB5	K562	0.0
chr14	23454416	23454916	PSMB5	K562	
chr14	22560754	22561361	C14orf119	K562	
chr14	22614179	22614681	C14orf119	K562	
chr14	22700080	22700580	C14orf119	K562	
chr14	22560754	22561361	HOMEZ	K562	
chr14	22560754	22561361	MRPL52	K562	
chr14	22561547	22562047	MRPL52	K562	
chr14	22614179	22614681	MRPL52	K562	
chr14	23453713	23454213	MRPL52	K562	
chr14	23454416	23454916	MRPL52	K562	
chr14	23694591	23695091	MRPL52	K562	
chr14	22560754	22561361	PABPN1	K562	
chr14	22700080	22700580	ACIN1	K562	
chr14	23437919	23438538	NEDD8	K562	
chr14	23454416	23454916	NEDD8	K562	
chr14	23694591	23695091	NEDD8	K562	
chr14	23437919	23438538	PSME1	K562	
chr14	23454416	23454916	PSME1	K562	
chr14	24274230	24274730	PSME1	K562	0.0
chr14	23437919	23438538	PSME2	K562	
chr14	23453713	23454213	PSME2	K562	
chr14	23694591	23695091	NGDN	K562	
chr14	31937717	31938217	HECTD1	K562	
chr14	33811664	33813118	EAPP	K562	
chr14	33811664	33813118	SNX6	K562	
chr14	35365438	35366056	SNX6	K562	
chr14	33811664	33813118	SPTSSA	K562	
chr14	33915078	33915578	SPTSSA	K562	
chr14	35365438	35366056	SPTSSA	K562	
chr14	34465201	34465701	BAZ1A	K562	
chr14	35359600	35360100	BAZ1A	K562	
chr14	35376407	35377046	BAZ1A	K562	
chr14	34465201	34465701	PPP2R3C	K562	
chr14	35367157	35368647	FAM177A1	K562	
chr14	39145406	39145906	PNN	K562	3807.042269923305
chr14	49858275	49858866	RPL36AL	K562	
chr14	49868113	49868613	RPL36AL	K562	
chr14	49858275	49858866	RPS29	K562	
chr14	55102919	55103626	KTN1	K562	
chr14	55107740	55108675	KTN1	K562	
chr14	55799457	55799957	KTN1	K562	
chr14	55102919	55103626	LGALS3	K562	13495.668301617641
chr14	65107151	65107651	MAX	K562	18052.790693058778
chr14	67414126	67414803	EIF2S1	K562	5813.735062236903
chr14	67416008	67416508	EIF2S1	K562	3672.8521282441257
chr14	67418854	67419354	EIF2S1	K562	3110.6565641156762
chr14	67416008	67416508	PIGH	K562	0.0
chr14	67418854	67419354	PIGH	K562	0.0
chr14	67416008	67416508	VTI1B	K562	
chr14	67418854	67419354	VTI1B	K562	
chr14	67421270	67421770	RDH11	K562	
chr14	68747502	68749996	ERH	K562	
chr14	68757442	68758205	ERH	K562	
chr14	68762693	68763722	ERH	K562	
chr14	68814446	68815314	ERH	K562	
chr14	68816084	68817015	ERH	K562	
chr14	68757442	68758205	SRSF5	K562	
chr14	68762693	68763722	SRSF5	K562	
chr14	68814446	68815314	SRSF5	K562	
chr14	68816084	68817015	SRSF5	K562	
chr14	68757442	68758205	ZFP36L1	K562	3107.240451334749
chr14	68762693	68763722	ZFP36L1	K562	3640.900985061013
chr14	72907416	72908372	RBM25	K562	0.0
chr14	72924304	72924804	RBM25	K562	0.0
chr14	74927092	74927740	ACYP1	K562	0.0
chr14	75229644	75230244	C14orf1	K562	
chr14	75229644	75230244	NPC2	K562	
chr14	75301750	75302250	NPC2	K562	
chr14	76880307	76880807	SLIRP	K562	
chr14	76956255	76957054	SNW1	K562	
chr14	91267362	91267862	GPR68	K562	8327.360867071715
chr14	92108195	92108695	NDUFB1	K562	7916.43521819118
chr14	92785505	92786657	NDUFB1	K562	
chr14	95507155	95507655	PAPOLA	K562	
chr14	95523233	95524524	PAPOLA	K562	
chr14	96581033	96581533	PAPOLA	K562	1444.4407337544656
chr14	95523233	95524524	GLRX5	K562	7577.156670188392
chr14	95527308	95527808	GLRX5	K562	8211.678911272686
chr14	95545711	95546211	GLRX5	K562	7714.792104513662
chr14	96581033	96581533	VRK1	K562	
chr14	100683517	100684667	WARS	K562	
chr14	101360300	101360884	WARS	K562	
chr14	100683517	100684667	YY1	K562	
chr14	100755179	100756143	YY1	K562	
chr14	100770440	100770940	DLK1	K562	2581.274796360671
chr14	100770440	100770940	MEG3	K562	7947.279743112251
chr14	102570881	102571522	MARK3	K562	
chr14	102590532	102591032	MARK3	K562	
chr14	102590532	102591032	APOPT1	K562	
chr14	103115097	103115597	APOPT1	K562	
chr14	103314489	103314989	APOPT1	K562	
chr14	103378033	103378533	APOPT1	K562	0.0
chr14	103115097	103115597	C14orf2	K562	
chr14	103118966	103119466	C14orf2	K562	
chr14	103204831	103205651	C14orf2	K562	
chr14	103309169	103309669	C14orf2	K562	
chr14	103313559	103314059	C14orf2	K562	
chr14	103314489	103314989	C14orf2	K562	
chr14	103315200	103315700	C14orf2	K562	
chr14	103360477	103360977	C14orf2	K562	
chr14	103378033	103378533	C14orf2	K562	
chr14	103115097	103115597	HSP90AA1	K562	
chr14	103116473	103117083	HSP90AA1	K562	
chr14	103116473	103117083	CKB	K562	
chr14	103313559	103314059	CKB	K562	
chr14	103314489	103314989	CKB	K562	
chr14	103360477	103360977	CKB	K562	0.0
chr14	103378033	103378533	CKB	K562	0.0
chr14	103116473	103117083	EIF5	K562	
chr14	103314489	103314989	EIF5	K562	14954.242989843815
chr14	103315200	103315700	EIF5	K562	13784.872604314764
chr14	103360477	103360977	EIF5	K562	5298.52110679434
chr14	103372535	103373035	EIF5	K562	5388.298750728583
chr14	103314489	103314989	CINP	K562	
chr14	103360477	103360977	ZFYVE21	K562	
chr14	105069720	105070375	SIVA1	K562	
chr15	34079861	34080361	EMC7	K562	10541.846671378467
chr15	34708281	34708781	EMC4	K562	
chr15	40080686	40081186	GCHFR	K562	
chr15	40080686	40081186	SRP14	K562	5935.54639455949
chr15	43230535	43231035	SERF2	K562	
chr15	44726554	44727467	SERF2	K562	
chr15	44726554	44727467	B2M	K562	6796.872841517253
chr15	44783970	44785123	B2M	K562	2293.098203220951
chr15	44792522	44793217	B2M	K562	753.8491955920081
chr15	44820533	44821360	B2M	K562	0.0
chr15	44726554	44727467	PDIA3	K562	
chr15	44783970	44785123	EIF3J	K562	
chr15	44820533	44821360	EIF3J	K562	
chr15	44783970	44785123	SORD	K562	
chr15	44820533	44821360	SORD	K562	
chr15	48696057	48696557	COPS2	K562	
chr15	48696057	48696557	DUT	K562	
chr15	51652121	51652621	SCG3	K562	19887.30286377859
chr15	51672071	51672800	SCG3	K562	5525.623057421094
chr15	57329523	57330459	ZNF280D	K562	
chr15	57951020	57951862	SLTM	K562	
chr15	63841840	63842554	RPS27L	K562	
chr15	63892622	63893122	RPS27L	K562	
chr15	65189094	65189594	SPG21	K562	
chr15	66894319	66894819	RPL4	K562	
chr15	67882872	67883837	CLN6	K562	
chr15	67884443	67885164	ANP32A	K562	
chr15	72237366	72237866	PKM	K562	18310.63356011679
chr15	74392412	74392912	COX5A	K562	
chr15	74760120	74760790	COX5A	K562	0.0
chr15	75124807	75125734	COX5A	K562	0.0
chr15	75167474	75168177	COX5A	K562	
